,Date,Average_views_per_viewer,Unique_viewers,Click_rate,Impressions,Comments,Shares,Dislikes,Subscribers_lost,Subscribers_gained,Likes,Average_viewed,Videos_published,Subscribers,Views,Watch_hours,Average_view_sec,Revenue
0,2018-08-21,1.1538,13.0,7.38,122.0,2.0,1.0,0.0,0.0,5.0,5.0,53.59,1.0,5.0,15.0,0.4666,111,0.0
1,2018-08-22,1.1935,31.0,23.14,121.0,3.0,0.0,0.0,2.0,6.0,4.0,44.58,0.0,4.0,37.0,0.9575,93,0.0
2,2018-08-23,1.3684,19.0,20.65,92.0,1.0,0.0,0.0,0.0,2.0,5.0,38.75,0.0,2.0,26.0,0.5849,80,0.0
3,2018-08-24,1.0,8.0,13.64,44.0,0.0,0.0,0.0,0.0,0.0,0.0,24.81,0.0,0.0,8.0,0.1152,51,0.0
4,2018-08-25,1.0625,16.0,13.89,72.0,0.0,0.0,0.0,0.0,1.0,0.0,45.5,0.0,1.0,17.0,0.4491,95,0.0
5,2018-08-26,1.1333,15.0,11.02,118.0,0.0,0.0,1.0,0.0,0.0,0.0,62.19,0.0,0.0,17.0,0.6138,129,0.0
6,2018-08-27,1.0517,58.0,10.55,455.0,1.0,0.0,0.0,0.0,3.0,0.0,38.76,0.0,3.0,61.0,1.3728,81,0.0
7,2018-08-28,1.0896,67.0,10.66,572.0,1.0,0.0,0.0,0.0,1.0,6.0,37.53,0.0,1.0,73.0,1.5907,78,0.0
8,2018-08-29,1.0755,53.0,7.75,529.0,0.0,0.0,1.0,0.0,0.0,2.0,31.12,0.0,0.0,57.0,1.0298,65,0.0
9,2018-08-30,1.0698,43.0,6.52,598.0,0.0,0.0,0.0,0.0,2.0,2.0,39.47,0.0,2.0,46.0,1.054,82,0.0
10,2018-08-31,1.1231,65.0,9.78,542.0,0.0,2.0,0.0,0.0,2.0,2.0,42.81,0.0,2.0,73.0,1.8142,89,0.0
11,2018-09-01,1.0859999999999999,93.0,12.89,675.0,0.0,0.0,0.0,0.0,2.0,2.0,41.57,0.0,2.0,101.0,2.4374,86,0.0
12,2018-09-02,1.1681,119.0,13.24,846.0,0.0,2.0,0.0,0.0,1.0,9.0,43.36,1.0,1.0,139.0,3.8101,98,0.0
13,2018-09-03,1.2857,84.0,10.66,647.0,0.0,7.0,1.0,0.0,3.0,13.0,35.76,0.0,3.0,108.0,3.4108,113,0.0
14,2018-09-04,1.4138,58.0,9.2,641.0,0.0,1.0,0.0,0.0,3.0,3.0,28.65,0.0,3.0,82.0,1.7977,78,0.0
15,2018-09-05,1.2525,99.0,13.85,722.0,1.0,2.0,1.0,1.0,4.0,5.0,40.2,0.0,3.0,124.0,3.4067,98,0.0
16,2018-09-06,1.4215,223.0,14.9,1738.0,2.0,0.0,0.0,0.0,14.0,16.0,40.46,0.0,14.0,317.0,10.7995,122,0.0
17,2018-09-07,1.5297,202.0,10.92,2171.0,4.0,2.0,0.0,2.0,14.0,16.0,43.47,1.0,12.0,309.0,10.6117,123,0.0
18,2018-09-08,1.5778,225.0,10.37,2489.0,3.0,2.0,0.0,1.0,8.0,24.0,35.78,1.0,7.0,355.0,9.0243,91,0.0
19,2018-09-09,1.4955,220.0,8.83,2878.0,3.0,2.0,0.0,0.0,6.0,14.0,31.37,0.0,6.0,329.0,7.8816,86,0.0
20,2018-09-10,1.4641,153.0,6.78,2609.0,2.0,8.0,0.0,0.0,6.0,9.0,35.72,0.0,6.0,224.0,6.1752,99,0.0
21,2018-09-11,1.4312,160.0,9.29,1863.0,0.0,3.0,0.0,0.0,3.0,4.0,33.89,0.0,3.0,229.0,6.0212,94,0.0
22,2018-09-12,1.52,150.0,9.42,2007.0,1.0,0.0,0.0,1.0,2.0,3.0,34.11,0.0,1.0,228.0,6.0814,96,0.0
23,2018-09-13,1.4675,154.0,10.05,1562.0,5.0,3.0,0.0,1.0,8.0,7.0,34.47,0.0,7.0,226.0,5.8364,92,0.0
24,2018-09-14,1.3107,103.0,10.59,916.0,2.0,3.0,0.0,0.0,0.0,4.0,28.08,0.0,0.0,135.0,3.0896,82,0.0
25,2018-09-15,1.0,14.0,7.36,163.0,0.0,0.0,0.0,0.0,0.0,0.0,46.95,0.0,0.0,14.0,0.8682,223,0.0
26,2018-09-16,1.0769,26.0,14.38,160.0,0.0,0.0,0.0,0.0,1.0,0.0,26.69,0.0,1.0,28.0,1.0295,132,0.0
27,2018-09-17,1.1333,15.0,13.56,118.0,0.0,0.0,0.0,0.0,0.0,1.0,22.75,0.0,0.0,17.0,0.5329999999999999,112,0.0
28,2018-09-18,1.1667,12.0,10.19,108.0,0.0,0.0,0.0,0.0,0.0,0.0,30.39,0.0,0.0,14.0,0.5863,150,0.0
29,2018-09-19,1.0833,12.0,7.55,106.0,0.0,0.0,0.0,0.0,1.0,2.0,28.25,0.0,1.0,13.0,0.506,140,0.0
30,2018-09-20,1.4444,18.0,12.67,150.0,0.0,0.0,0.0,0.0,0.0,0.0,27.2,0.0,0.0,26.0,0.9742,134,0.0
31,2018-09-21,1.1452,62.0,9.44,593.0,0.0,0.0,0.0,0.0,0.0,1.0,35.51,0.0,0.0,71.0,2.2846,115,0.0
32,2018-09-22,1.3448,29.0,9.49,295.0,0.0,0.0,0.0,0.0,3.0,3.0,29.69,0.0,3.0,39.0,1.4296,131,0.0
33,2018-09-23,1.25,24.0,11.24,178.0,0.0,0.0,0.0,0.0,2.0,0.0,25.05,0.0,2.0,30.0,1.0355,124,0.0
34,2018-09-24,1.1667,18.0,8.63,197.0,0.0,0.0,1.0,0.0,0.0,0.0,35.59,0.0,0.0,21.0,1.0297,176,0.0
35,2018-09-25,1.0952,21.0,12.03,158.0,0.0,0.0,0.0,0.0,0.0,1.0,33.28,0.0,0.0,23.0,1.0548,165,0.0
36,2018-09-26,1.1034,29.0,9.54,241.0,0.0,0.0,0.0,0.0,1.0,0.0,28.27,0.0,1.0,32.0,1.2462,140,0.0
37,2018-09-27,1.0,24.0,7.73,233.0,0.0,0.0,0.0,0.0,0.0,2.0,35.09,0.0,0.0,24.0,1.1602,174,0.0
38,2018-09-28,1.1,30.0,9.96,241.0,0.0,0.0,1.0,0.0,0.0,1.0,35.98,0.0,0.0,33.0,1.636,178,0.0
39,2018-09-29,1.1613,31.0,10.32,252.0,0.0,0.0,0.0,1.0,1.0,2.0,24.58,0.0,0.0,36.0,1.2192,121,0.0
40,2018-09-30,1.1154,26.0,9.8,245.0,0.0,0.0,0.0,0.0,0.0,0.0,33.07,0.0,0.0,29.0,1.3214,164,0.0
41,2018-10-01,1.1429,21.0,8.48,224.0,0.0,0.0,0.0,0.0,0.0,0.0,23.81,0.0,0.0,24.0,0.7874,118,0.0
