Date,Av­er­age views per view­er,Unique view­ers,Im­pres­sions click-through rate (%),Im­pres­sions,Com­ments ad­ded,Shares,Likes (vs. dis­likes) (%),Dis­likes,Sub­scribers lost,Sub­scribers gained,Likes,Av­er­age per­cent­age viewed (%),Videos pub­lished,Videos ad­ded,Sub­scribers,Views,Watch time (hours),Av­er­age view dur­a­tion,Your es­tim­ated rev­en­ue (USD)
Total,0,0,4.58,1223416160,311307,168500,98.64,56657,206404,907386,4100995,35.66,126,175,700982,75465700,5744314.0742,0:04:34,29631.538
2019-01-01,1.4639,263,10.18,2534,8,0,100,0,0,6,23,19.9,1,1,6,385,12.6678,0:01:58,0
2019-01-02,1.6851,362,10.81,4081,10,1,95,1,1,6,19,20.94,,,5,610,27.3475,0:02:41,0
2019-01-03,1.7042,409,11.49,4395,6,2,100,0,0,21,29,18.7,,,21,697,26.0088,0:02:14,0
2019-01-04,1.712,368,12.22,3774,8,0,89.47,2,2,16,17,19.58,,,14,630,26.2028,0:02:29,0
2019-01-05,1.6991,575,12.97,5711,2,1,96,1,0,22,24,18.89,,,22,977,39.8792,0:02:26,0
2019-01-06,1.654,604,13.67,5318,3,2,100,0,1,21,19,17.25,,,20,999,35.2706,0:02:07,0
2019-01-07,1.7019,624,12.5,5705,6,2,97.06,1,7,20,33,17.67,1,1,13,1062,38.8084,0:02:11,0
2019-01-08,1.7044,1394,12.9,12996,15,2,94.94,4,1,45,75,19.2,,,44,2376,81.2545,0:02:03,0
2019-01-09,1.6848,1304,13.15,13000,12,0,96.2,3,4,43,76,19.76,,,39,2197,79.1681,0:02:09,0
2019-01-10,1.6133,905,11.5,9978,3,1,100,0,0,19,44,19.76,,,19,1460,51.7504,0:02:07,0
2019-01-11,1.6181,995,12.77,10128,9,3,97.73,1,2,23,43,22.15,,,21,1610,63.03,0:02:20,0
2019-01-12,1.7276,1560,14.37,15311,13,10,97.14,3,1,63,102,24.35,,,62,2695,116.1337,0:02:35,0
2019-01-13,1.7211,3206,14.22,31949,36,17,97.33,5,9,140,182,23.92,,,131,5518,236.3784,0:02:34,0
2019-01-14,1.6586,6881,14.72,62213,63,28,96.57,17,56,246,478,24.97,1,1,190,11413,486.7209,0:02:33,0
2019-01-15,1.6563,8514,12.66,88532,91,31,96.76,18,12,246,537,25.89,,,234,14102,604.1679,0:02:34,0
2019-01-16,1.7152,20910,14.43,198774,102,99,94.12,67,33,552,1073,25.33,,,519,35865,1537.5677,0:02:34,0
2019-01-17,1.6365,28025,12.95,276308,145,66,94.52,73,41,709,1260,23.08,,,668,45862,1762.7948,0:02:18,0
2019-01-18,1.5772,24234,11.98,243750,89,51,95.56,48,32,525,1034,22.34,,,493,38222,1391.7898,0:02:11,0
2019-01-19,1.5522,22805,11.48,236438,68,54,95.12,41,44,483,799,22.76,,,439,35397,1296.1232,0:02:11,0
2019-01-20,1.5021,12941,10.68,138946,67,31,95.93,22,22,249,518,23.96,1,1,227,19439,717.4992,0:02:12,0
2019-01-21,1.4601,11335,10.05,125273,95,39,97.51,16,19,214,626,29.89,,,195,16550,611.9717,0:02:13,0
2019-01-22,1.5346,7245,8.7,95419,304,20,96.68,13,12,226,378,25.55,0,3,214,11118,400.827,0:02:09,0
2019-01-23,1.6029,3946,8.03,58502,33,7,96.18,6,9,112,151,27.11,0,0,103,6325,227.9962,0:02:09,0.765
2019-01-24,1.4402,3480,8.39,44674,92,19,99.71,1,12,84,341,32.45,1,1,72,5012,220.2557,0:02:38,1.89
